orderid,custid,orderstatus,totalprice,orderdate,orderpriority,clerk,storeid,shippriority,ordercomment,orderqty,productid,discount
150986,1396,C,1308.11,2020-10-29,10,Ossie Leaves,9,4,In Stock,1,4,13.08
382312,1132,C,1227.08,2019-04-04,10,April Rains,8,3,In Stock,1,8,15.34
240853,1353,C,1290.75,2020-09-18,10,Steve Fall,1,1,In Stock,12,8,12.91
319790,1309,C,1330.98,2020-08-27,10,Auggie Sunshine,1,1,In Stock,13,5,13.31
462431,1171,C,1005.00,2020-05-11,10,May Flowers,6,1,In Stock,1,4,25.12
250946,1026,C,1373.52,2020-01-29,10,Jack Snow,4,4,In Stock,3,9,17.17
372278,1098,C,1201.72,2019-03-26,10,Matt Winds,2,2,In Stock,6,4,30.04
201842,1272,C,1349.22,2020-07-08,10,Justin Heat,10,5,In Stock,1,1,33.73
365630,1333,C,1634.85,2019-09-21,10,Steve Fall,5,5,In Stock,3,5,27.25
219807,1177,C,1258.05,2020-05-13,10,May Flowers,9,4,In Stock,1,9,31.45
275273,1093,C,1232.87,2020-03-25,10,Matt Winds,3,3,In Stock,4,1,20.55
276007,1417,C,1198.14,2020-11-03,10,Norbert Thanks,9,4,In Stock,1,4,14.98
223151,1301,C,1282.36,2020-08-14,10,Auggie Sunshine,3,3,In Stock,4,4,21.37
421075,1425,C,1075.00,2020-11-25,10,Norbert Thanks,6,1,In Stock,1,6,53.75
226760,1466,C,1312.75,2020-12-26,10,Dee Winter,3,3,In Stock,4,10,21.88
382432,1172,C,1366.00,2019-05-11,10,May Flowers,7,2,In Stock,1,3,22.77
491019,1429,C,1207.24,2020-11-07,10,Norbert Thanks,8,3,In Stock,1,4,20.12
150086,1026,C,1308.11,2020-01-29,10,Jack Snow,9,4,In Stock,1,9,65.41
358410,1051,C,1282.36,2019-02-14,10,Fred Cold,3,3,In Stock,4,9,64.12
528030,1440,C,1267.88,2020-11-10,10,Norbert Thanks,8,3,In Stock,1,7,15.85
196090,1049,C,1270.21,2020-02-03,10,Fred Cold,1,1,In Stock,12,7,15.88
345257,1107,C,1135.00,2019-03-19,10,Matt Winds,6,1,In Stock,1,9,14.19
255104,1174,C,1446.46,2020-05-22,10,May Flowers,7,2,In Stock,2,10,72.32
372276,1096,C,1190.70,2019-03-26,10,Matt Winds,1,1,In Stock,11,3,59.54
314057,1067,C,1379.61,2020-02-28,10,Fred Cold,10,5,In Stock,1,1,68.98
537736,1296,C,1192.36,2020-08-12,10,Auggie Sunshine,3,3,In Stock,3,10,19.87
462408,1178,C,1040.00,2020-05-03,10,May Flowers,1,1,In Stock,10,5,26.00
462469,1179,C,1045.00,2020-05-23,10,May Flowers,6,1,In Stock,1,7,52.25
492914,1384,C,1070.00,2020-10-05,10,Ossie Leaves,1,1,In Stock,10,5,10.70
162585,1085,C,1245.89,2020-03-12,10,Matt Winds,6,1,In Stock,2,7,15.57
301087,1437,C,1135.00,2020-11-29,10,Norbert Thanks,6,1,In Stock,1,9,18.92
439120,1302,C,1288.43,2020-08-04,10,Auggie Sunshine,9,4,In Stock,1,4,21.47
512429,1009,C,1270.21,2020-01-13,10,Jack Snow,1,1,In Stock,12,5,31.76
200412,1202,C,1397.83,2020-05-30,10,May Flowers,8,3,In Stock,1,7,34.95
400130,1013,C,1294.51,2019-01-05,10,Jack Snow,5,5,In Stock,2,5,16.18
478333,1123,C,1233.74,2020-04-01,10,April Rains,4,4,In Stock,3,1,30.84
447949,1389,C,1207.24,2020-10-17,10,Ossie Leaves,8,3,In Stock,1,4,20.12
360080,1128,C,1264.13,2019-04-03,10,April Rains,5,5,In Stock,2,6,63.21
405350,1215,C,1501.15,2019-06-12,10,June Summer,2,2,In Stock,7,8,75.06
224922,1372,C,1677.40,2020-10-01,10,Ossie Leaves,8,3,In Stock,2,3,83.87
200900,1240,C,1397.83,2020-06-30,10,June Summer,8,3,In Stock,1,5,23.30
192111,1451,C,1221.58,2020-12-01,10,Dee Winter,2,2,In Stock,6,8,12.22
265481,1191,C,1218.26,2020-05-27,10,May Flowers,9,4,In Stock,1,10,30.46
197800,1100,C,1337.06,2020-03-27,10,Matt Winds,8,3,In Stock,1,4,22.28
382714,1304,C,1238.66,2019-08-05,10,Auggie Sunshine,9,4,In Stock,1,5,20.64
415035,1005,C,1130.06,2019-01-12,10,Jack Snow,1,1,In Stock,11,6,18.83
184300,1200,C,1397.83,2020-05-10,10,May Flowers,8,3,In Stock,1,1,69.89
417237,1087,C,1035.00,2019-03-13,10,Matt Winds,6,1,In Stock,1,8,17.25
225879,1399,C,1391.75,2020-10-30,10,Ossie Leaves,2,2,In Stock,6,5,17.40
417971,1381,C,1055.00,2019-10-24,10,Ossie Leaves,6,1,In Stock,1,8,17.58
417685,1275,C,1125.00,2019-07-29,10,Justin Heat,6,1,In Stock,1,9,11.25
219740,1184,C,1300.59,2020-05-25,10,May Flowers,1,1,In Stock,13,8,21.68
210013,1013,C,1174.16,2020-01-05,10,Jack Snow,5,5,In Stock,2,7,58.71
387341,1131,C,1055.00,2019-04-14,10,April Rains,6,1,In Stock,1,1,13.19
372985,1395,C,1240.31,2019-10-29,10,Ossie Leaves,1,1,In Stock,12,6,31.01
400616,1026,C,1373.52,2019-01-19,10,Jack Snow,4,4,In Stock,3,1,68.68
405510,1231,C,1343.13,2019-06-17,10,June Summer,4,4,In Stock,3,1,33.58
415502,1212,C,1345.05,2019-06-01,10,June Summer,6,1,In Stock,2,7,13.45
417847,1347,C,1085.00,2019-09-16,10,Steve Fall,6,1,In Stock,1,5,18.08
312869,1019,C,1330.98,2020-01-27,10,Jack Snow,1,1,In Stock,13,5,16.64
190660,1416,C,1251.98,2020-11-22,10,Norbert Thanks,2,2,In Stock,6,9,12.52
412463,1453,C,1829.33,2019-12-11,10,Dee Winter,10,5,In Stock,1,8,18.29
199224,1144,C,1361.37,2020-04-28,10,April Rains,2,2,In Stock,6,6,17.02
463014,1424,C,1070.00,2020-11-05,10,Norbert Thanks,1,1,In Stock,10,8,17.83
168228,1308,C,1324.90,2020-08-16,10,Auggie Sunshine,5,5,In Stock,2,2,13.25
438380,1230,C,1337.06,2020-06-27,10,June Summer,8,3,In Stock,1,8,33.43
230321,1141,C,1218.26,2020-04-07,10,April Rains,9,4,In Stock,1,2,30.46
406711,1260,C,1276.28,2019-07-04,10,Justin Heat,7,2,In Stock,1,1,21.27
480346,1196,C,1373.52,2020-05-29,10,May Flowers,4,4,In Stock,3,4,22.89
165841,1211,C,1221.58,2020-06-11,10,June Summer,2,2,In Stock,6,4,61.08
387970,1380,C,1050.00,2019-10-24,10,Ossie Leaves,1,1,In Stock,10,2,52.50
492458,1198,C,1140.00,2020-05-20,10,May Flowers,1,1,In Stock,11,9,57.00
300223,1103,C,1115.00,2020-03-08,10,Matt Winds,6,1,In Stock,1,1,13.94
415845,1345,C,1185.19,2019-09-15,10,Steve Fall,6,1,In Stock,1,2,29.63
171570,1477,C,1379.61,2020-12-19,10,Dee Winter,10,5,In Stock,1,1,68.98
363050,1255,C,1549.77,2019-07-02,10,Justin Heat,10,5,In Stock,1,1,38.74
210192,1072,C,1267.88,2020-02-28,10,Fred Cold,3,3,In Stock,4,6,12.68
275854,1354,C,1296.54,2020-09-18,10,Steve Fall,7,2,In Stock,1,10,16.21
241167,1457,C,1198.14,2020-12-23,10,Dee Winter,9,4,In Stock,1,3,59.91
160924,1024,C,1361.37,2020-01-28,10,Jack Snow,2,2,In Stock,6,10,22.69
301159,1479,C,1145.00,2020-12-20,10,Dee Winter,6,1,In Stock,1,10,19.08
251056,1036,C,1397.83,2020-01-31,10,Jack Snow,8,3,In Stock,1,8,69.89
318655,1255,C,1549.77,2020-07-02,10,Justin Heat,10,5,In Stock,1,10,25.83
444881,1461,C,1282.36,2020-12-24,10,Dee Winter,3,3,In Stock,4,10,21.37
216430,1070,C,1397.83,2020-02-10,10,Fred Cold,8,3,In Stock,1,4,17.47
223200,1350,C,1337.06,2020-09-07,10,Steve Fall,8,3,In Stock,1,9,33.43
224790,1389,C,1330.98,2020-10-27,10,Ossie Leaves,1,1,In Stock,13,4,16.64
447266,1086,C,1135.58,2020-03-22,10,Matt Winds,6,1,In Stock,1,5,11.36
195180,1018,C,1324.90,2020-01-06,10,Jack Snow,5,5,In Stock,2,2,13.25
337169,1049,C,1209.72,2020-02-23,10,Fred Cold,10,5,In Stock,1,8,15.12
410070,1417,C,1258.05,2019-11-03,10,Norbert Thanks,9,4,In Stock,1,2,15.73
275789,1319,C,1325.48,2020-08-30,10,Auggie Sunshine,6,1,In Stock,2,8,13.25
527303,1123,C,1119.04,2020-04-01,10,April Rains,10,5,In Stock,1,10,55.95
434540,1104,C,1361.37,2020-03-18,10,Matt Winds,2,2,In Stock,6,9,34.03
186900,1280,C,1397.83,2020-07-30,10,Justin Heat,8,3,In Stock,1,9,23.30
337535,1215,C,1429.67,2020-06-12,10,June Summer,10,5,In Stock,1,4,71.48
205660,1416,C,1251.98,2020-11-22,10,Norbert Thanks,2,2,In Stock,6,6,31.30
493125,1475,C,1125.00,2020-12-09,10,Dee Winter,6,1,In Stock,1,5,14.06
150907,1377,C,1198.14,2020-10-03,10,Ossie Leaves,9,4,In Stock,1,10,29.95
240957,1397,C,1313.91,2020-10-19,10,Ossie Leaves,4,4,In Stock,3,6,16.42
182330,1083,C,1233.74,2020-03-11,10,Matt Winds,4,4,In Stock,3,10,15.42
412045,1445,C,1397.83,2019-11-30,10,Norbert Thanks,8,3,In Stock,1,9,34.95
180902,1022,C,1349.22,2020-01-28,10,Jack Snow,10,5,In Stock,1,5,16.87
210613,1263,C,1174.16,2020-07-05,10,Justin Heat,5,5,In Stock,2,7,29.35
300215,1095,C,1075.00,2020-03-05,10,Matt Winds,6,1,In Stock,1,4,13.44
345485,1195,C,1125.00,2019-05-29,10,May Flowers,6,1,In Stock,1,9,56.25
324155,1455,C,1792.88,2020-12-02,10,Dee Winter,3,3,In Stock,5,6,29.88
434475,1105,C,1367.45,2020-03-09,10,Matt Winds,8,3,In Stock,1,4,13.67
161936,1056,C,1312.75,2020-02-26,10,Fred Cold,3,3,In Stock,4,3,65.64
343159,1479,C,1145.00,2020-12-20,10,Dee Winter,6,1,In Stock,1,1,57.25
486820,1472,C,1349.22,2020-12-28,10,Dee Winter,10,5,In Stock,1,3,16.87
210550,1230,C,1212.75,2020-06-17,10,June Summer,3,3,In Stock,4,10,15.16
457965,1375,C,1614.89,2020-10-22,10,Ossie Leaves,5,5,In Stock,3,6,16.15
230860,1360,C,1267.88,2020-09-20,10,Steve Fall,8,3,In Stock,1,7,21.13
405170,1180,C,1276.28,2019-05-24,10,May Flowers,7,2,In Stock,1,5,63.81
300661,1251,C,1005.00,2020-07-21,10,Justin Heat,6,1,In Stock,1,7,25.12
382351,1141,C,1279.17,2019-04-17,10,April Rains,10,5,In Stock,1,8,63.96
433188,1048,C,1264.13,2020-02-03,10,Fred Cold,5,5,In Stock,2,10,31.60
478784,1134,C,1300.59,2020-04-15,10,April Rains,1,1,In Stock,13,5,16.26
492732,1292,C,1300.00,2020-08-11,10,Auggie Sunshine,1,1,In Stock,13,1,65.00
402783,1103,C,1355.29,2019-03-18,10,Matt Winds,6,1,In Stock,2,1,67.76
492589,1239,C,1145.00,2020-06-30,10,June Summer,6,1,In Stock,1,6,11.45
416058,1438,C,1256.85,2019-11-20,10,Norbert Thanks,7,2,In Stock,1,7,12.57
406800,1270,C,1337.06,2019-07-27,10,Justin Heat,8,3,In Stock,1,5,66.85
315240,1144,C,1361.37,2020-04-08,10,April Rains,2,2,In Stock,6,2,17.02
275129,1069,C,1325.48,2020-02-10,10,Fred Cold,6,1,In Stock,2,4,66.27
405841,1211,C,1221.58,2019-06-11,10,June Summer,2,2,In Stock,6,10,12.22
231184,1474,C,1234.80,2020-12-28,10,Dee Winter,5,5,In Stock,2,4,12.35
265055,1025,C,1240.31,2020-01-19,10,Jack Snow,1,1,In Stock,12,8,31.01
501071,1421,C,1055.00,2020-11-24,10,Norbert Thanks,6,1,In Stock,1,2,26.38
448133,1453,C,1659.26,2020-12-11,10,Dee Winter,10,5,In Stock,1,7,27.65
321295,1345,C,1306.67,2020-09-15,10,Steve Fall,7,2,In Stock,1,5,13.07
182650,1085,C,1245.89,2020-03-22,10,Matt Winds,6,1,In Stock,2,10,20.76
417463,1173,C,1185.00,2019-05-21,10,May Flowers,6,1,In Stock,1,8,14.81
300556,1236,C,1130.00,2020-06-19,10,June Summer,1,1,In Stock,11,3,14.12
254470,1187,C,1318.82,2020-05-16,10,May Flowers,9,4,In Stock,1,9,65.94
222271,1251,C,1221.58,2020-07-21,10,Justin Heat,2,2,In Stock,6,5,15.27
225880,1438,C,1385.67,2020-11-30,10,Norbert Thanks,6,1,In Stock,2,6,17.32
321110,1381,C,1282.36,2020-10-04,10,Ossie Leaves,3,3,In Stock,4,1,32.06
457063,1003,C,1174.99,2020-01-21,10,Jack Snow,5,5,In Stock,2,10,29.37
337994,1404,C,1331.27,2020-10-31,10,Ossie Leaves,2,2,In Stock,6,8,33.28
206935,1435,C,1367.45,2020-11-29,10,Norbert Thanks,8,3,In Stock,1,4,13.67
420153,1063,C,1115.00,2020-02-18,10,Fred Cold,6,1,In Stock,1,6,11.15
328124,1474,C,1234.80,2020-12-08,10,Dee Winter,5,5,In Stock,2,3,15.44
407000,1290,C,1397.83,2019-07-31,10,Justin Heat,8,3,In Stock,1,6,23.30
188480,1348,C,1324.90,2020-09-16,10,Steve Fall,5,5,In Stock,2,6,66.24
240785,1315,C,1302.33,2020-08-29,10,Auggie Sunshine,3,3,In Stock,4,3,16.28
212950,1390,C,1100.00,2020-10-17,10,Ossie Leaves,1,1,In Stock,11,5,27.50
447763,1293,C,1438.76,2020-08-21,10,Auggie Sunshine,9,4,In Stock,1,6,35.97
433386,1066,C,1373.52,2020-02-09,10,Fred Cold,4,4,In Stock,3,7,13.74
223920,1362,C,1397.83,2020-09-30,10,Steve Fall,8,3,In Stock,1,3,23.30
434120,1092,C,1288.43,2020-03-04,10,Matt Winds,9,4,In Stock,1,2,21.47
364359,1259,C,1270.21,2019-07-23,10,Justin Heat,1,1,In Stock,12,10,31.76
240539,1219,C,1209.72,2020-06-13,10,June Summer,10,5,In Stock,1,3,30.24
404796,1176,C,1251.98,2019-05-12,10,May Flowers,2,2,In Stock,6,5,20.87
300634,1254,C,1270.00,2020-07-12,10,Justin Heat,1,1,In Stock,12,6,12.70
210216,1096,C,1190.70,2020-03-06,10,Matt Winds,1,1,In Stock,11,3,19.84
362401,1201,C,1397.83,2019-05-30,10,May Flowers,8,3,In Stock,1,7,23.30
162662,1092,C,1288.43,2020-03-14,10,Matt Winds,9,4,In Stock,1,3,64.42
320210,1351,C,1343.13,2020-09-07,10,Steve Fall,4,4,In Stock,3,5,22.39
241191,1491,C,1331.27,2020-12-31,10,Dee Winter,2,2,In Stock,6,5,16.64
230322,1142,C,1223.78,2020-04-08,10,April Rains,4,4,In Stock,3,4,30.59
300613,1263,C,1065.00,2020-07-05,10,Justin Heat,6,1,In Stock,1,4,53.25
240171,1051,C,1221.30,2020-02-24,10,Fred Cold,2,2,In Stock,6,7,20.36
210317,1137,C,1196.21,2020-04-06,10,April Rains,7,2,In Stock,1,6,11.96
337277,1097,C,1256.02,2020-03-26,10,Matt Winds,7,2,In Stock,1,1,12.56
218290,1149,C,1391.75,2020-04-10,10,April Rains,2,2,In Stock,6,10,23.20
319964,1314,C,1361.37,2020-08-08,10,Auggie Sunshine,2,2,In Stock,6,5,22.69
230749,1309,C,1207.24,2020-08-17,10,Auggie Sunshine,8,3,In Stock,1,8,30.18
189700,1380,C,1276.28,2020-10-24,10,Ossie Leaves,7,2,In Stock,1,5,15.95
462544,1224,C,1070.00,2020-06-15,10,June Summer,1,1,In Stock,10,7,17.83
415112,1052,C,1168.65,2019-02-04,10,Fred Cold,9,4,In Stock,1,10,11.69
481039,1229,C,1330.98,2020-06-17,10,June Summer,1,1,In Stock,13,5,13.31
372982,1392,C,1223.78,2019-10-28,10,Ossie Leaves,4,4,In Stock,3,6,30.59
164719,1199,C,1391.75,2020-05-10,10,May Flowers,2,2,In Stock,6,3,69.59
421066,1416,C,1030.00,2020-11-22,10,Norbert Thanks,1,1,In Stock,10,8,17.17
492886,1356,C,1130.00,2020-09-29,10,Steve Fall,1,1,In Stock,11,5,11.30
195490,1019,C,1330.98,2020-01-17,10,Jack Snow,1,1,In Stock,13,10,13.31
230482,1192,C,1223.78,2020-05-28,10,May Flowers,4,4,In Stock,3,3,20.40
197080,1088,C,1264.13,2020-03-03,10,Matt Winds,5,5,In Stock,2,10,12.64
492926,1396,C,1130.00,2020-10-09,10,Ossie Leaves,1,1,In Stock,11,10,18.83
210885,1355,C,1240.31,2020-09-29,10,Steve Fall,1,1,In Stock,12,3,12.40
345492,1202,C,1150.00,2019-05-30,10,May Flowers,1,1,In Stock,11,10,57.50
230318,1138,C,1201.72,2020-04-06,10,April Rains,2,2,In Stock,6,9,20.03
253993,1123,C,1233.74,2020-04-21,10,April Rains,4,4,In Stock,3,2,30.84
197650,1085,C,1245.89,2020-03-22,10,Matt Winds,6,1,In Stock,2,5,15.57
189330,1373,C,1683.48,2020-10-11,10,Ossie Leaves,4,4,In Stock,4,9,21.04
405566,1216,C,1251.98,2019-06-02,10,June Summer,2,2,In Stock,6,6,15.65
165247,1187,C,1318.82,2020-05-26,10,May Flowers,9,4,In Stock,1,10,32.97
343187,1477,C,1135.00,2020-12-29,10,Dee Winter,6,1,In Stock,1,2,14.19
327016,1016,C,1190.70,2020-01-06,10,Jack Snow,1,1,In Stock,11,10,14.88
240024,1024,C,1296.54,2020-01-08,10,Jack Snow,7,2,In Stock,1,9,64.83
327138,1048,C,1146.60,2020-02-13,10,Fred Cold,7,2,In Stock,1,8,19.11
170120,1422,C,1288.43,2020-11-04,10,Norbert Thanks,9,4,In Stock,1,4,64.42
475693,1003,C,1233.74,2020-01-21,10,Jack Snow,4,4,In Stock,3,4,12.34
434440,1094,C,1300.59,2020-03-15,10,Matt Winds,1,1,In Stock,13,2,21.68
225300,1440,C,1397.83,2020-11-10,10,Norbert Thanks,8,3,In Stock,1,10,17.47
364271,1251,C,1221.58,2019-07-21,10,Justin Heat,2,2,In Stock,6,1,20.36
265003,1003,C,1119.04,2020-01-02,10,Jack Snow,10,5,In Stock,1,5,55.95
150033,1003,C,1174.99,2020-01-11,10,Jack Snow,5,5,In Stock,2,7,29.37
164246,1146,C,1373.52,2020-04-29,10,April Rains,4,4,In Stock,3,10,13.74
537826,1356,C,1308.11,2020-09-09,10,Steve Fall,9,4,In Stock,1,4,32.70
265981,1391,C,1218.26,2020-10-27,10,Ossie Leaves,9,4,In Stock,1,9,15.23
519310,1291,C,1221.58,2020-08-11,10,Auggie Sunshine,2,2,In Stock,6,5,12.22
382480,1190,C,1273.39,2019-05-27,10,May Flowers,4,4,In Stock,3,9,31.83
181660,1046,C,1251.98,2020-02-22,10,Fred Cold,2,2,In Stock,6,5,20.87
160860,1026,C,1373.52,2020-01-29,10,Jack Snow,4,4,In Stock,3,4,34.34
420755,1315,C,1125.00,2020-08-19,10,Auggie Sunshine,6,1,In Stock,1,2,14.06
167018,1258,C,1264.13,2020-07-13,10,Justin Heat,5,5,In Stock,2,1,31.60
221138,1238,C,1385.67,2020-06-20,10,June Summer,6,1,In Stock,2,1,13.86
300014,1014,C,1070.00,2020-01-05,10,Jack Snow,1,1,In Stock,10,4,53.50
457766,1296,C,1192.36,2020-08-22,10,Auggie Sunshine,3,3,In Stock,3,8,14.90
160370,1007,C,1258.05,2020-01-13,10,Jack Snow,9,4,In Stock,1,3,12.58
417655,1275,C,1125.00,2019-07-19,10,Justin Heat,6,1,In Stock,1,1,11.25
260637,1377,C,1258.05,2020-10-23,10,Ossie Leaves,9,4,In Stock,1,8,31.45
251970,1077,C,1397.83,2020-02-28,10,Fred Cold,8,3,In Stock,1,1,34.95
322791,1391,C,1343.13,2020-10-27,10,Ossie Leaves,4,4,In Stock,3,3,22.39
439820,1312,C,1349.22,2020-08-28,10,Auggie Sunshine,10,5,In Stock,1,6,67.46
342224,1104,C,1120.00,2020-03-08,10,Matt Winds,1,1,In Stock,11,4,18.67
218608,1148,C,1385.67,2020-04-10,10,April Rains,6,1,In Stock,2,8,69.28
413167,1497,C,1397.83,2019-12-31,10,Dee Winter,8,3,In Stock,1,3,23.30
367285,1375,C,1695.63,2019-10-12,10,Ossie Leaves,6,1,In Stock,2,6,28.26
387738,1298,C,1040.00,2019-08-13,10,Auggie Sunshine,1,1,In Stock,10,6,13.00
500342,1132,C,1060.00,2020-04-14,10,April Rains,1,1,In Stock,10,7,10.60
482030,1293,C,1586.24,2020-08-01,10,Auggie Sunshine,7,2,In Stock,2,10,79.31
416164,1454,C,1620.68,2019-12-22,10,Dee Winter,1,1,In Stock,16,8,16.21
447078,1018,C,1201.72,2020-01-26,10,Jack Snow,2,2,In Stock,6,7,15.02
342508,1218,C,1040.00,2020-06-03,10,June Summer,1,1,In Stock,10,2,10.40
401930,1073,C,1397.83,2019-02-28,10,Fred Cold,8,3,In Stock,1,3,69.89
328131,1451,C,1108.01,2020-12-11,10,Dee Winter,9,4,In Stock,1,10,27.70
415388,1148,C,1256.85,2019-04-30,10,April Rains,7,2,In Stock,1,7,31.42
218993,1123,C,1233.74,2020-04-21,10,April Rains,4,4,In Stock,3,10,61.69
387879,1349,C,1095.00,2019-09-27,10,Steve Fall,6,1,In Stock,1,6,13.69
417855,1355,C,1125.00,2019-09-19,10,Steve Fall,6,1,In Stock,1,2,56.25
150700,1290,C,1331.27,2020-07-31,10,Justin Heat,2,2,In Stock,6,3,13.31
210795,1325,C,1267.88,2020-08-31,10,Auggie Sunshine,8,3,In Stock,1,8,12.68
388062,1412,C,1420.00,2019-11-21,10,Norbert Thanks,1,1,In Stock,14,8,17.75
210917,1387,C,1196.21,2020-10-06,10,Ossie Leaves,7,2,In Stock,1,8,19.94
185896,1216,C,1251.98,2020-06-12,10,June Summer,2,2,In Stock,6,4,20.87
205615,1375,C,1695.63,2020-10-22,10,Ossie Leaves,6,1,In Stock,2,4,16.96
342506,1216,C,1030.00,2020-06-02,10,June Summer,1,1,In Stock,10,4,12.88
418160,1480,C,1150.00,2019-12-20,10,Dee Winter,1,1,In Stock,11,2,19.17
382678,1268,C,1261.81,2019-07-26,10,Justin Heat,2,2,In Stock,6,7,15.77
275885,1355,C,1302.33,2020-09-29,10,Steve Fall,3,3,In Stock,4,7,16.28
171050,1455,C,1792.88,2020-12-02,10,Dee Winter,3,3,In Stock,5,5,44.82
383187,1477,C,1313.91,2019-12-29,10,Dee Winter,4,4,In Stock,3,4,13.14
405720,1222,C,1288.43,2019-06-24,10,June Summer,9,4,In Stock,1,2,21.47
320400,1340,C,1276.28,2020-09-14,10,Steve Fall,7,2,In Stock,1,9,21.27
346012,1422,C,1060.00,2019-11-04,10,Norbert Thanks,1,1,In Stock,10,6,10.60
432331,1030,C,1397.83,2020-01-10,10,Jack Snow,8,3,In Stock,1,6,17.47
342382,1142,C,1110.00,2020-04-28,10,April Rains,1,1,In Stock,11,9,27.75
543059,1439,C,1145.00,2020-11-20,10,Norbert Thanks,6,1,In Stock,1,1,28.62
462368,1128,C,1040.00,2020-04-23,10,April Rains,1,1,In Stock,10,9,26.00
490264,1084,C,1124.55,2020-03-22,10,Matt Winds,5,5,In Stock,2,5,28.11
202860,1316,C,1373.52,2020-08-29,10,Auggie Sunshine,4,4,In Stock,3,8,22.89
140950,1390,C,1212.75,2020-10-17,10,Ossie Leaves,3,3,In Stock,4,7,15.16
388039,1419,C,1045.00,2019-11-13,10,Norbert Thanks,6,1,In Stock,1,10,10.45
366770,1387,C,1318.82,2019-10-26,10,Ossie Leaves,9,4,In Stock,1,3,16.49
357308,1028,C,1385.67,2019-01-10,10,Jack Snow,6,1,In Stock,2,5,23.09
457167,1047,C,1198.14,2020-02-23,10,Fred Cold,9,4,In Stock,1,3,14.98
212423,1193,C,1115.00,2020-05-08,10,May Flowers,6,1,In Stock,1,5,11.15
420543,1223,C,1065.00,2020-06-15,10,June Summer,6,1,In Stock,1,5,17.75
372785,1315,C,1240.31,2019-08-29,10,Auggie Sunshine,1,1,In Stock,12,3,15.50
411060,1456,C,1251.98,2019-12-02,10,Dee Winter,2,2,In Stock,6,3,31.30
479740,1184,C,1300.59,2020-05-25,10,May Flowers,1,1,In Stock,13,4,13.01
387181,1061,C,1105.00,2019-02-27,10,Fred Cold,6,1,In Stock,1,7,55.25
210240,1090,C,1157.62,2020-03-14,10,Matt Winds,8,3,In Stock,1,3,11.58
151144,1464,C,1238.66,2020-12-15,10,Dee Winter,9,4,In Stock,1,2,12.39
442891,1400,C,1397.83,2020-10-30,10,Ossie Leaves,8,3,In Stock,1,5,13.98
490037,1007,C,1141.09,2020-01-13,10,Jack Snow,2,2,In Stock,5,8,14.26
358101,1050,C,1276.28,2019-02-04,10,Fred Cold,7,2,In Stock,1,4,31.91
314890,1109,C,1391.75,2020-03-30,10,Matt Winds,2,2,In Stock,6,5,13.92
490281,1101,C,1218.26,2020-03-27,10,Matt Winds,9,4,In Stock,1,9,12.18
150429,1199,C,1325.48,2020-05-10,10,May Flowers,6,1,In Stock,2,7,66.27
417910,1380,C,1050.00,2019-10-04,10,Ossie Leaves,1,1,In Stock,10,1,52.50
457348,1138,C,1261.81,2020-04-16,10,April Rains,2,2,In Stock,6,6,12.62
345131,1041,C,1005.00,2019-02-11,10,Fred Cold,6,1,In Stock,1,8,50.25
258200,1350,C,1337.06,2020-09-07,10,Steve Fall,8,3,In Stock,1,6,22.28
372823,1353,C,1229.29,2019-09-08,10,Steve Fall,10,5,In Stock,1,3,20.49
327206,1086,C,1135.58,2020-03-02,10,Matt Winds,6,1,In Stock,1,10,11.36
198961,1150,C,1397.83,2020-04-20,10,April Rains,8,3,In Stock,1,8,34.95
415666,1256,C,1135.58,2019-07-22,10,Justin Heat,6,1,In Stock,1,3,11.36
441890,1399,C,1391.75,2020-10-30,10,Ossie Leaves,2,2,In Stock,6,1,69.59
417134,1044,C,1020.00,2019-02-12,10,Fred Cold,1,1,In Stock,10,9,12.75
210604,1254,C,1400.18,2020-07-02,10,Justin Heat,1,1,In Stock,14,1,14.00
204160,1386,C,1312.75,2020-10-06,10,Ossie Leaves,3,3,In Stock,4,4,16.41
327429,1199,C,1262.36,2020-05-10,10,May Flowers,3,3,In Stock,4,4,12.62
490544,1224,C,1179.68,2020-06-15,10,June Summer,10,5,In Stock,1,10,58.98
210583,1233,C,1229.29,2020-06-28,10,June Summer,10,5,In Stock,1,6,20.49
212928,1398,C,1140.00,2020-10-10,10,Ossie Leaves,1,1,In Stock,11,2,57.00
492277,1097,C,1085.00,2020-03-26,10,Matt Winds,6,1,In Stock,1,7,18.08
168514,1304,C,1300.59,2020-08-25,10,Auggie Sunshine,1,1,In Stock,13,2,16.26
404000,1160,C,1397.83,2019-04-30,10,April Rains,8,3,In Stock,1,5,23.30
410770,1427,C,1318.82,2019-11-26,10,Norbert Thanks,9,4,In Stock,1,8,13.19
203180,1348,C,1324.90,2020-09-06,10,Steve Fall,5,5,In Stock,2,3,22.08
359790,1099,C,1330.98,2019-03-27,10,Matt Winds,1,1,In Stock,13,10,16.64
215231,1021,C,1343.13,2020-01-07,10,Jack Snow,4,4,In Stock,3,7,67.16
387135,1045,C,1025.00,2019-02-12,10,Fred Cold,6,1,In Stock,1,5,25.62
315498,1138,C,1324.90,2020-04-06,10,April Rains,5,5,In Stock,2,4,33.12
300265,1085,C,1025.00,2020-03-22,10,Matt Winds,6,1,In Stock,1,10,12.81
367130,1423,C,1294.51,2019-11-05,10,Norbert Thanks,5,5,In Stock,2,3,64.73
